,abstract,doi,first_seen,journal,n_tweets,pmid,published,title
174,"Significant research has been focused on phthalate-induced alterations in male reproductive development. Studies on rodents have prompted the notion that a syndrome exists in the human male which includes phenotypic alterations such as hypospadias, cryptorchidism, poor semen quality, and even testicular cancer. Each phenotype in this 'testicular dysgenesis syndrome' is predicated on reduction in testosterone production by the fetal Leydig cell. We sought to examine the relationship between dysgenesis and steroidogenic capacity in the fetal rat testis more stringently by incorporating lower exposures than those typically used, conducting a comprehensive, non-targeted quantitative evaluation of the fetal testis proteome, and relating alterations in individual proteins to the capacity of the fetal Leydig cell to produce testosterone, and histopathology of the fetal testis. Pregnant dams were dosed orally from gestation day (GD) 13-19 with 0, 10, or 100 mg diethylhexyl phthalate (DEHP)/kg body weight per day. Each endpoint was represented by 16l. Clustering of Leydig cells occurred before any significant decrease in the capacity of the GD19 Leydig cell to produce testosterone. At 100 mg DEHP/kg, testosterone production was reduced significantly, Leydig cell clusters became quite large, and additional dysgenetic changes were observed in the fetal testis. Of 23 proteins whose expression was altered significantly at both DEHP exposure levels, seven were found to be correlated with and predictive of the quantified endpoints. None of these proteins have been previously implicated with DEHP exposure. Notably, pathway analysis revealed that these seven proteins fit a pathway network in which each is regulated directly or indirectly by estradiol.",10.1530/rep-12-0266,2012-12-31T12:03:00+00:00,Reproduction,2,23041508,2012-01-01T00:00:00+00:00,Novel molecular targets associated with testicular dysgenesis induced by gestational exposure to diethylhexyl phthalate in the rat: a role for estradiol
175,"The toxicity, bioaccumulation, and biotransformation of citrate and polyvinylpyrrolidone (PVP) coated silver nanoparticles (NPs) (AgNP-citrate and AgNP-PVP) in marine organisms via marine sediment exposure was investigated. Results from 7-d sediment toxicity tests indicate that AgNP-citrate and AgNP-PVP did not exhibit toxicity to the amphipod (Ampelisca abdita) and mysid (Americamysis bahia) at ≤75 mg/kg dry wt. A 28-d bioaccumulation study showed that Ag was significantly accumulated in the marine polychaete Nereis virens (N. virens) in the AgNP-citrate, AgNP-PVP and a conventional salt (AgNO3) treatments. Synchrotron X-ray absorption spectroscopy (XAS) results showed the distribution of Ag species in marine sediments amended with AgNP-citrate, AgNP-PVP, and AgNO3 was AgCl (50-65%) > Ag2S (32-42%) > Ag metal (Ag(0)) (3-11%). In N virens, AgCl (25-59%) and Ag2S (10-31%) generally decreased and, Ag metal (32-44%) increased, relative to the sediments. The patterns of speciation in the worm were different depending upon the coating of the AgNP and both types of AgNPs were different than the AgNO3 salt. These results show that the AgNP surface capping agents influenced Ag uptake, biotransformation, and/or excretion. To our knowledge, this is the first demonstration of the bioaccumulation and speciation of AgNPs in a marine organism (N. virens).",10.1021/es502976y,2014-11-24T15:56:19+00:00,Environmental Science & Technology,5,25369427,2014-11-06T00:00:00+00:00,"Toxicity, Bioaccumulation and Biotransformation of Silver Nanoparticles in Marine Organisms."
176,"Polybrominated diphenyl ethers (PBDEs) are structurally similar to polychlorinated biphenyls (PCBs) and have both central (learning and memory deficits) and peripheral (motor dysfunction) neurotoxic effects at concentrations/doses similar to those of PCBs. The cellular and molecular mechanisms for these neurotoxic effects are not fully understood; however, several studies have shown that PBDEs affect thyroid hormones, cause oxidative stress, and disrupt Ca2+-mediated signal transduction. Changes in these signal transduction pathways can lead to differential gene regulation with subsequent changes in protein expression, which can affect the development and function of the nervous system.",10.1289/ehp.1408504,2015-01-24T17:31:48+00:00,Environmental Health Perspectives,2,25616259,2014-12-19T00:00:00+00:00,Developmental Exposure to a Commercial PBDE Mixture: Effects on Protein Networks in the Cerebellum and Hippocampus of Rats.
177,,10.1371/journal.pone.0018540,2016-06-19T00:55:16+00:00,PLoS ONE,0,21666745,2011-06-07T00:00:00+00:00,Evaluation of 309 Environmental Chemicals Using a Mouse Embryonic Stem Cell Adherent Cell Differentiation and Cytotoxicity Assay
178,"Little is known about environmental biodegradability or biotransformations of single-walled carbon nanotubes (SWNT). Because of their strong association with aquatic organic matter, detailed knowledge of the ultimate fate and persistence of SWNT requires investigation of possible biotransformations (i.e., biodegradation) in environmental media. In the present study, [(14) C]SWNT were utilized to track biodegradation over 6 mo by pure liquid culture of the fungus Trametes versicolor and mixed bacterial isolates from field-collected sediment or aerated wastewater treatment plant sludge. The mixed cultures were chosen as more environmentally relevant media where SWNT will likely be deposited under both aerobic and anaerobic conditions. Activity of [(14) C] was assessed in solid, aqueous, and (14) CO2 gaseous phases to determine amounts of intact SWNT, partially soluble SWNT degradation products, and mineralized SWNT, respectively, during the 6 mo of the experiment. Mass balances based on radiocarbon activity were approximately 100% over 6 mo, and no significant degradation of SWNT was observed. Approximately 99% of the [(14) C] activity remained in the solid phase, 0.8% in the aqueous phase, and less than 0.1% was mineralized to (14) CO2 , regardless of culture type. These results suggest that SWNT are not readily biodegraded by pure fungal cultures or environmental microbial communities, and are likely persistent in environmental media. Environ Toxicol Chem 2014;9999:1-5. © 2014 SETAC.",10.1002/etc.2791,2014-10-28T17:05:15+00:00,Environmental Toxicology & Chemistry,4,25352477,2015-01-27T00:00:00+00:00,Environmental biodegradability of [14C] single‐walled carbon nanotubes by Trametes versicolor and natural microbial cultures found in New Bedford Harbor sediment and aerated wastewater treatment plant sludge
179,,10.1016/j.taap.2014.11.006,2015-07-29T09:42:57+00:00,Toxicology & Applied Pharmacology,2,25529470,2014-12-18T00:00:00+00:00,Improving in vitro to in vivo extrapolation by incorporating toxicokinetic measurements: A case study of lindane-induced neurotoxicity 
180,"The use of human biomonitoring data to characterize exposure to environmental contaminants in epidemiology studies has expanded greatly in recent years. Substantial variability in effect measures may arise when using different exposure metrics for a given contaminant, and it is often not clear which metric is the best surrogate for the 'causal' or 'true' exposure. Here we evaluated variability and potential bias in epidemiologic associations resulting from the use of different phthalate exposure metrics in the 2009-2010 National Health and Nutrition Examination Survey (NHANES). We examined associations between urinary phthalate metabolites and the outcomes of body mass index (BMI) and waist circumference (WC). We examined each of the following NHANES-derived exposure metrics for metabolites of individual phthalates: molar excretion rate (nmol/min), molar amount (nmol), molar concentration (nmol/mL, with and without additional model adjustment for creatinine), creatinine corrected molar concentration (nmol/g creatinine), and reconstructed daily phthalate intake (nmol/kg/day). In order to investigate potential biasing effect of each metric, we first assumed that daily intake of the parent phthalate is the causal exposure. We then constructed a simulated population based on the 2009-2010 NHANES, and randomly assigned each individual a di-2-ethylhexyl phthalate (DEHP) intake dose based on a published distribution, but independent of any other factor. Accordingly, all associations between these randomly assigned intake doses and individuals' BMI and WC should be null. Next, demographic data in the NHANES were incorporated into a pharmacokinetic model to predict urinary molar excretions of five DEHP metabolites based on the randomly assigned DEHP intake. The predicted molar excretions were then used to calculate the same exposure metrics listed above. Three exposure metrics (randomly generated intake, excretion rate, urine concentration) showed no significant associations with BMI, which supports the null hypothesis stated above. In contrast, metrics adjusted for creatinine showed a significant negative correlation, and reconstructed daily intake showed a significant positive correlation, indicating the introduction of bias away from the true (i.e., null) association. Interestingly, trends in the simulation analysis were similar to those seen in the observed NHANES data. Our findings show that, at least in this example case, the choice of exposure metric can introduce significant bias of varying magnitude and direction into the calculation of epidemiologic associations.",10.1016/j.envint.2014.07.010,2014-10-29T21:37:22+00:00,Environment International,3,25090576,2014-08-06T00:00:00+00:00,Changes in epidemiologic associations with different exposure metrics: A case study of phthalate exposure associations with body mass index and waist circumference.
181,"The effects of exposure to nanoparticles of titanium dioxide (nano-titanium) and cerium oxide (nano-cerium) on gene expression and growth in Arabidopsis thaliana germinants were studied by using microarrays and quantitative real-time polymerase chain reaction (qPCR), and by evaluating germinant phenotypic plasticity. Exposure to 12 d of either nano-titania or nano-ceria altered the regulation of 204 and 142 genes, respectively. Genes induced by the nanoparticles mainly include ontology groups annotated as stimuli responsive, including both abiotic (oxidative stress, salt stress, water transport) and biotic (respiratory burst as a defense against pathogens) stimuli. Further analysis of the differentially expressed genes indicates that both nanoparticles affected a range of metabolic processes (deoxyribonucleic acid [DNA] metabolism, hormone metabolism, tetrapyrrole synthesis, and photosynthesis). Individual exposures to the nanoparticles increased percentages of seeds with emergent radicles, early development of hypocotyls and cotyledons, and those with fully grown leaves. Although there were distinct differences between the nanoparticles in their affect on molecular mechanisms attributable to enhancing germinant growth, both particles altered similar suites of genes related to various pathways and processes related to enhanced growth. Environ Toxicol Chem 2015;34:70-83. Published 2014 Wiley Periodicals Inc. on behalf of SETAC. This article is a US government work and, as such, is in the public domain in the United States of America.",10.1002/etc.2756,2014-09-19T18:57:30+00:00,Environmental Toxicology & Chemistry,2,25242526,,Phenotypic and genomic responses to titanium dioxide and cerium oxide nanoparticles in Arabidopsis germinants
182,,10.1002/etc.2965,2015-03-13T14:29:50+00:00,Environmental Toxicology & Chemistry,1,25772004,2015-03-13T00:00:00+00:00,Prioritization of pharmaceuticals for potential environmental hazard through leveraging a large‐scale mammalian pharmacological dataset
183,"The aim of this study was to explore the utility of ""omics"" approaches in monitoring aquatic environments where complex, often unknown stressors make chemical-specific risk assessment untenable. We examined changes in the fathead minnow (Pimephales promelas) ovarian transcriptome following 4-day exposures conducted at three sites in Minnesota (MN, USA). Within each site, fish were exposed to water from three locations along a spatial gradient relative to a wastewater treatment plant (WWTP) discharge. After exposure, site-specific impacts on gene expression in ovaries were assessed. Using an intragradient point of comparison, biological responses specifically associated with the WWTP effluent were identified using functional enrichment analyses. Fish exposed to water from locations downstream of the effluent discharges exhibited many transcriptomic responses in common with those exposed to the effluent, indicating that effects of the discharge do not fully dissipate downstream. Functional analyses showed a range of biological pathways impacted through effluent exposure at all three sites. Several of those impacted pathways at each site could be linked to potential adverse reproductive outcomes associated with the hypothalamic-pituitary-gonadal (HPG) axis in female fathead minnows, specifically signaling pathways associated with oocyte meiosis, TGF-beta signaling, gonadotropin-releasing hormone (GnRH) and epidermal growth factor receptor family (ErbB), and gene sets associated with cyclin B-1 and metalloproteinase. The utility of this approach comes from the ability to identify biological responses to pollutant exposure, particularly those that can be tied to adverse outcomes at the population level and those that identify molecular targets for future studies.",10.1021/es4040254,2014-02-01T15:09:27+00:00,Environmental Science & Technology,1,24433150,2014-01-19T00:00:00+00:00,"Using Transcriptomic Tools to Evaluate Biological Effects Across Effluent Gradients at a Diverse Set of Study Sites in Minnesota, USA"
184,,10.1093/toxsci/kfu169,2015-07-21T14:54:13+00:00,Toxicological Sciences,1,25145659,2014-08-20T23:00:00+00:00,Incorporating Population Variability And Susceptible Subpopulations Into Dosimetry For High-Throughput Toxicity Testing.
185,"Vascular development is a complex process regulated by dynamic biological networks that vary in topology and state across different tissues and developmental stages. Signals regulating de novo blood vessel formation (vasculogenesis) and remodeling (angiogenesis) come from a variety of biological pathways linked to endothelial cell (EC) behavior, extracellular matrix (ECM) remodeling and the local generation of chemokines and growth factors. Simulating these interactions at a systems level requires sufficient biological detail about the relevant molecular pathways and associated cellular behaviors, and tractable computational models that offset mathematical and biological complexity. Here, we describe a novel multicellular agent-based model of vasculogenesis using the CompuCell3D (http://www.compucell3d.org/) modeling environment supplemented with semi-automatic knowledgebase creation. The model incorporates vascular endothelial growth factor signals, pro- and anti-angiogenic inflammatory chemokine signals, and the plasminogen activating system of enzymes and proteases linked to ECM interactions, to simulate nascent EC organization, growth and remodeling. The model was shown to recapitulate stereotypical capillary plexus formation and structural emergence of non-coded cellular behaviors, such as a heterologous bridging phenomenon linking endothelial tip cells together during formation of polygonal endothelial cords. Molecular targets in the computational model were mapped to signatures of vascular disruption derived from in vitro chemical profiling using the EPA's ToxCast high-throughput screening (HTS) dataset. Simulating the HTS data with the cell-agent based model of vascular development predicted adverse effects of a reference anti-angiogenic thalidomide analog, 5HPP-33, on in vitro angiogenesis with respect to both concentration-response and morphological consequences. These findings support the utility of cell agent-based models for simulating a morphogenetic series of events and for the first time demonstrate the applicability of these models for predictive toxicology.",10.1371/journal.pcbi.1002996,2013-04-05T07:21:48+00:00,PLoS Computational Biology,6,23592958,2013-04-04T00:00:00+00:00,A Computational Model Predicting Disruption of Blood Vessel Development
186,,10.1650/condor-13-045.1,2014-05-13T19:37:03+00:00,Condor,9,,2014-05-01T00:00:00+00:00,"Landscape and regional context differentially affect nest parasitism and nest predation for Wood Thrush in central Virginia, USA"
187,"Engineered zinc oxide (ZnO) and silver (Ag) nanoparticles (NPs) used in consumer products are largely released into the environment through the wastewater stream. Limited information is available regarding the transformations they undergo during their transit through sewerage systems before reaching wastewater treatment plants. To address this knowledge gap, laboratory-scale systems fed with raw wastewater were used to evaluate the transformation of ZnO- and Ag-NPs within sewerage transfer networks. Two experimental systems were established and spiked with either Ag- and ZnO-NPs or with their dissolved salts, and the wastewater influent and effluent samples from both systems were thoroughly characterised. X-ray absorption spectroscopy (XAS) was used to assess the extent of the chemical transformation of both forms of Zn and Ag during transport through the model systems. The results indicated that both ZnO- and Ag-NPs underwent significant transformation during their transport through the sewerage network. Reduced sulphur species represented the most important endpoint for these NPs in the sewer with slight differences in terms of speciation; ZnO converted largely to Zn sulfide, while Ag was also sorbed to cysteine and histidine. Importantly, both ionic Ag and Ag-NPs formed secondary Ag sulfide nanoparticles in the sewerage network as revealed by TEM analysis. Ag-cysteine was also shown to be a major species in biofilms. These results were verified in the field using recently developed nanoparticle in situ deployment devices (nIDDs) which were exposed directly to sewerage network conditions by immersing them into a municipal wastewater network trunk sewer and then retrieving them for XAS analysis.",10.1016/j.watres.2015.03.003,2015-05-20T21:32:08+00:00,Water Research,1,25841090,,Fate of zinc and silver engineered nanoparticles in sewerage networks.
188,"According to recent research, 70-90% of long-term latency and chronic human disease incidence is attributable to environmental (human exposome) factors through the gene-environment interaction. Environmental exposure science is now embarking on a new ""discovery"" path for decoding the human exposome using biomarkers in breath and other biological media.",10.1021/ac402306f,2013-11-05T12:37:20+00:00,Analytical Chemistry,6,24067055,2013-11-05T00:00:00+00:00,"The evolution of environmental exposure science: Using breath-borne biomarkers for ""discovery"" of the human exposome."
189,,10.3109/1354750x.2014.988646,2014-12-18T11:40:01+00:00,Biomarkers,1,,2014-12-11T00:00:00+00:00,"Analysis of inflammatory cytokines in human blood, breath condensate, and urine using a multiplex immunoassay platform"
190,"Formaldehyde, a known human carcinogen and mucous membrane irritant, is emitted from a variety of building materials and indoor furnishings. The drive to improve building energy efficiency by decreasing ventilation rates increases the need to better understand emissions from indoor products and to identify and develop lower emitting materials. To help meet this need, formaldehyde emissions from indoor materials are typically measured using environmental chambers. However, chamber testing results are frequently inconsistent and provide little insight into the mechanisms governing emissions. This research addresses these problems by (1) developing a reference formaldehyde emissions source that can be used to validate chamber testing methods for characterization of dynamic sources of formaldehyde emissions and (2) demonstrating that emissions from finite formaldehyde sources can be predicted using a fundamental mass-transfer model. Formaldehyde mass-transfer mechanisms are elucidated, providing practical approaches for developing diffusion-controlled reference materials that mimic actual sources. The fundamental understanding of emissions mechanisms can be used to improve emissions testing and guide future risk reduction actions.",10.1021/es402911e,2013-11-22T02:06:00+00:00,Environmental Science & Technology,1,24102115,2013-11-19T00:00:00+00:00,Developing a Reference Material for Diffusion-Controlled Formaldehyde Emissions Testing
191,,10.1002/ajim.22403,2016-04-14T09:38:26+00:00,American Journal of Industrial Medicine,0,25603935,2015-02-15T00:00:00+00:00,Investing in prospective cohorts for etiologic study of occupational exposures
192,,10.1088/1752-7155/8/2/029001,2014-07-02T13:28:54+00:00,Journal of Breath Research,1,24800639,2014-05-09T00:00:00+00:00,Extending breath analysis to the cellular level: current thoughts on the human microbiome and the expression of organic compounds in the human exposome.
193,"Exposure assessment and risk management considerations for tribal fish consumption are different than for the general U.S. population because of higher fish intake from subsistence fishing and/or from unique cultural practices. This research summarizes analyses of available data and methodologies for estimating tribal fish consumption exposures to methyl mercury (MeHg). Large MeHg fish tissue data sets from the Environmental Protections Agency's (EPA's) Office of Water, USGS's EMMMA program, and other data sources, were integrated, analyzed, and combined with fish intake (consumption) data for exposure analyses using EPA's SHEDS-Dietary model. Results were mapped with GIS tools to depict spatial distributions of the MeHg in fish tissues and fish consumption exposure patterns. Contribution analyses indicates the major sources for those exposures, such as type and length of fish, geographical distribution (water bodies), and dietary exposure patterns. Sensitivity analyses identify the key variables and exposure pathways. Our results show that MeHg exposure of tribal populations from fish are about 3 to 10 times higher than the US general population and that exposure poses potential health risks. The estimated risks would be reduced as much as 50%, especially for high percentiles, just by avoiding consumption of fish species with higher MeHg concentrations such as walleye and bowfin, even without changing total fish intake. These exposure assessment methods and tools can help inform decisions regarding meal sizes and frequency, types of fish and water bodies to avoid, and other factors to minimize exposures and potential health risks from contaminated fish on tribal lands.",10.1016/j.scitotenv.2015.06.070,2015-07-17T01:26:03+00:00,Science of the Total Environment,0,26151654,,Modeling tribal exposures to methyl mercury from fish consumption 
194,"A re-analysis of a large number of historical dose-response data for continuous endpoints indicates that an exponential or a Hill model with four parameters adequately describes toxicological dose-responses. No exceptions were found for the datasets considered, which related to a wide variety of endpoints and to both in vivo and in vitro studies of various types. For a given endpoint/study type dose-response shapes were found to be homogenous among chemicals in the in vitro studies considered, while a mild among-chemical variation in the steepness parameter seemed to be present in the in vivo studies. Our findings have various practical consequences. For continuous endpoints, model selection in the BMD approach is not a crucial issue. The often applied approach of using constraints on the model parameters to prevent ""infinite"" slopes at dose zero in fitting a model is not in line with our findings, and appears to be unjustified. Instead, more realistic ranges of parameter values could be derived from re-analyses of large numbers of historical dose-response datasets in the same endpoint and study type, which could be used as parameter constraints in future individual datasets. This approach will be particularly useful for weak datasets (e.g. few doses, much scatter). In addition, this approach may open the way to use fewer animals in future studies. In the discussion, we argue that distinctions between linear, sub/supralinear or thresholded dose-response shapes, based on visual inspection of plots, are not biologically meaningful nor useful for risk assessment.",10.3109/10408444.2013.853726,2013-11-20T04:56:14+00:00,Critical Reviews in Toxicology,2,24252121,2013-11-19T00:00:00+00:00,Shape and steepness of toxicological dose-response relationships of continuous endpoints.
195,"The present study investigated whether a combination of targeted analytical chemistry information with unsupervised, data-rich biological methodology (i.e., transcriptomics) could be utilized to evaluate relative contributions of wastewater treatment plant (WWTP) effluents to biological effects. The effects of WWTP effluents on fish exposed to ambient, receiving waters were studied at three locations with distinct WWTP and watershed characteristics. At each location, 4 d exposures of male fathead minnows to the WWTP effluent and upstream and downstream ambient waters were conducted. Transcriptomic analyses were performed on livers using 15,000 feature microarrays, followed by a canonical pathway and gene set enrichment analyses. Enrichment of gene sets indicative of teleost brain-pituitary-gonadal-hepatic (BPGH) axis function indicated that WWTPs serve as an important source of endocrine active chemicals (EACs) that affect the BPGH axis (e.g., cholesterol and steroid metabolism were altered). The results indicated that transcriptomics may even pinpoint pertinent adverse outcomes (i.e., liver vacuolization) and groups of chemicals that preselected chemical analytes may miss. Transcriptomic Effects-Based monitoring was capable of distinguishing sites, and it reflected chemical pollution gradients, thus holding promise for assessment of relative contributions of point sources to pollution and the efficacy of pollution remediation.",10.1021/es404027n,2014-01-17T14:07:46+00:00,Environmental Science & Technology,6,24409827,2014-01-15T00:00:00+00:00,Transcriptomic Effects-Based Monitoring for Endocrine Active Chemicals: Assessing Relative Contribution of Treated Wastewater to Downstream Pollution.
196,"The data generated by current high-throughput assays for chemical toxicity require information to link effects at molecular targets to adverse outcomes in whole animals. In addition, more efficient methods for testing volatile chemicals are needed. Here we begin to address these issues by determining the utility of measuring behavioral responses of Drosophila melanogaster to airborne volatile organic compounds (VOCs) as a potential model system for discovering adverse outcome pathways and as a method to test for toxicity. In these experiments, we measured motor activity in male and female flies to determine concentration-effect functions for three VOCs that differ in their mode of action: toluene, a narcotic; acrolein, an irritant; and vinyl chloride, an hepatocarcinogen. These experiments were conducted in Flyland, an outbred population of flies derived from 40 lines of the Drosophila Genetics Reference Panel (DGRP) (Mackay et al., 2012), in preparation for subsequent experiments with individual lines of the DGRP. Systematic, concentration-related changes in activity were observed with toluene, but not with acrolein; high concentrations of vinyl chloride reduced activity by a small amount. Despite higher activity levels in males than in females under control conditions, the sexes were equally sensitive to toluene. Transient increases in activity at the onset and offset of exposure to toluene and vinyl chloride suggested that the flies detected changes in air quality at concentrations that did not persistently suppress activity. The effects and potency of toluene are consistent with those observed in rodents. The lack of clear concentration-related changes in response to acrolein and vinyl chloride shows limitations of this method is for screening toxicity attributed to VOCs. This abstract does not reflect U.S. EPA policy.",10.1016/j.ntt.2014.11.008,2014-12-06T07:06:02+00:00,Neurotoxicology & Teratology,1,25445728,2014-12-03T00:00:00+00:00,"Effects of Toluene, Acrolein and Vinyl Chloride on Motor Activity of Drosophila melanogaster."
197,"Environmental Protection Agency's ToxCast project is profiling the in vitro bioactivity of chemicals to assess pathway-level and cell-based signatures that correlate with observed in vivo toxicity. We hypothesized that developmental toxicity in guideline animal studies captured in the ToxRefDB database would correlate with cell-based and cell-free in vitro high-throughput screening (HTS) data to reveal meaningful mechanistic relationships and provide models identifying chemicals with the potential to cause developmental toxicity. To test this hypothesis, we built statistical associations based on HTS and in vivo developmental toxicity data from ToxRefDB. Univariate associations were used to filter HTS assays based on statistical correlation with distinct in vivo endpoint. This revealed 423 total associations with distinctly different patterns for rat (301 associations) and rabbit (122 associations) across multiple HTS assay platforms. From these associations, linear discriminant analysis with cross-validation was used to build the models. Species-specific models of predicted developmental toxicity revealed strong balanced accuracy (> 70%) and unique correlations between assay targets such as transforming growth factor beta, retinoic acid receptor, and G-protein-coupled receptor signaling in the rat and inflammatory signals, such as interleukins (IL) (IL1a and IL8) and chemokines (CCL2), in the rabbit. Species-specific toxicity endpoints were associated with one another through common Gene Ontology biological processes, such as cleft palate to urogenital defects through placenta and embryonic development. This work indicates the utility of HTS assays for developing pathway-level models predictive of developmental toxicity.",10.1093/toxsci/kfr220,2011-10-19T22:11:08+00:00,Toxicological Sciences,2,21873373,2011-01-01T00:00:00+00:00,Predictive Models of Prenatal Developmental Toxicity from ToxCast High-Throughput Screening Data
198,"Crops engineered to contain genes for tolerance to multiple herbicides may be treated with several herbicides to manage weeds resistant to each herbicide. Thus, nearby non-target plants may be subjected to increased exposure to several herbicides used in combination. Of particular concern are native plants, as well as adjacent crops which have not been genetically engineered for tolerance to herbicides. We evaluated responses of seven species of native plants grown in a greenhouse and treated less than field application rates of glyphosate and/or dicamba: Andropogon gerardii, Asclepias syriaca, Eutrochium purpureum, Oenothera biennis, Polyganum lapathifolium, Solidago canadensis and Tridens flavus, and non-herbicide resistant soybean (Glycine max, Oregon line M4). Herbicide concentrations were 0.03 or 0.1 × field application rates of 1122 g ha(-1) active ingredient (a.i) (831 g ha(-1) acid glyphosate) for glyphosate and 562 g ha(-1) a.i. for dicamba. In general, plant growth responses to combinations of glyphosate and dicamba were less than the sum of growth responses to the individual herbicides (i.e., antagonistic effect), primarily when one or both herbicides alone caused a large reduction in growth. E. purpureum, P. lapathifolium and S. canadensis were the most sensitive species to both herbicides, while A. gerardii was the most tolerant, with no response to either herbicide. The combinations of herbicides resulted in responses most similar to that from dicamba alone for G. max and from glyphosate alone for T. flavus. The results of this study indicated the need for more data such as effects on native plants in the field to assess risks to non-target plants from combinations of herbicides.",10.1007/s10646-015-1442-8,2015-05-03T17:38:15+00:00,Ecotoxicology,4,25821135,2015-03-28T00:00:00+00:00,Glyphosate and dicamba herbicide tank mixture effects on native plant and non-genetically engineered soybean seedlings
199,"Aggregation of fullerene nanoparticles (nC(60)) is a fundamental process influencing its environmental fate and transport, and toxicity. Using time-resolved dynamic light scattering we systematically investigated aggregation kinetics of nC(60) generated from extended mixing in water (termed as aqu/nC(60)) in a range of symmetrical monovalent (NaCl) or divalent (MgSO(4)) electrolyte concentrations with the presence/absence of model natural organic matter (NOM), i.e., Suwannee River humic acid (SRHA) and fulvic acid (SRFA), at three pH levels (4, 7.8, 9.8). Electrophoretic mobility (EPM) data were interpreted according to the Ohshima's soft particle theory to obtain average characteristics of the adsorbed NOM layers, which was then used to explain the observed aggregation profiles. Results indicate that the presence of NOM stabilized aqu/nC(60), and SRHA was more effective than SRFA in suppressing aqu/nC(60) aggregation. The stabilization effect of NOM in the presence of NaCl was less pronounced than in the presence of MgSO(4), likely as a result of high aggregation potential of aqu/nC(60) in the presence of MgSO(4) due to effective charge screening and neutralization. The differential stabilization capacity between SRHA and SRFA could be explained by the structural and conformational characteristics of the adsorbed NOM layers by invoking steric repulsion, as determined by both the adsorbed layer thickness and the NOM affinity to aqu/nC(60). While this was true under most conditions, the discrepancy observed in the presence of MgSO(4) at pH 9.8 may be attributed to inter-particle aggregation through Mg(2+) binding with SRFA that is not included in steric repulsion theory.",10.1016/j.watres.2012.12.037,2013-01-13T11:42:03+00:00,Water Research,1,23374256,2013-01-01T00:00:00+00:00,Effects of Humic and Fulvic Acids on Aggregation of Aqu/nC60 Nanoparticles
200,"Environmental exposure diagnostics use creatinine concentrations in urine aliquots as the internal standard for dilution normalization of all other excreted metabolites when urinary excretion rate data are not available. This is a reasonable approach for healthy adults as creatinine is a human metabolite that is continually produced in skeletal muscles and presumably excreted in the urine at a stable rate. However, creatinine also serves as a biomarker for glomerular filtration rate (efficiency) of the kidneys, so undiagnosed kidney function impairment could affect this commonly applied dilution calculation. The United States Environmental Protection Agency (US EPA) has recently conducted a study that collected approximately 2600 urine samples from 50 healthy adults, aged 19-50 years old, in North Carolina in 2009-2011. Urinary ancillary data (creatinine concentration, total void volume, elapsed time between voids), and participant demographic data (race, gender, height, and body weight) were collected. A representative subset of 280 urine samples from 29 participants was assayed using a new kidney injury panel (KIP). In this article, we investigated the relationships of KIP biomarkers within and between subjects and also calculated their interactions with measured creatinine levels. The aims of this work were to document the analytical methods (procedures, sensitivity, stability, etc.), provide summary statistics for the KIP biomarkers in ""healthy"" adults without diagnosed disease (distribution, fold range, central tendency, variance), and to develop an understanding as to how urinary creatinine level varies with respect to the individual KIP proteins. Results show that new instrumentation and data reduction methods have sufficient sensitivity to measure KIP levels in nominally healthy urine samples, that linear regression between creatinine concentration and urinary excretion explains only about 68% of variability, that KIP markers are poorly correlated with creatinine (r(2) ∼ 0.34), and that statistical outliers of KIP markers are not random, but are clustered within certain subjects. In addition, we interpret these new adverse outcome pathways based in vivo biomarkers for their potential use as intermediary chemicals that may be diagnostic of kidney adverse outcomes to environmental exposure.",10.3109/1354750x.2015.1094136,2015-12-02T05:46:20+00:00,Biomarkers,1,26616147,2015-12-02T22:03:21+00:00,Kidney injury biomarkers and urinary creatinine variability in nominally healthy adults.
201,,10.1016/j.coph.2014.09.021,2015-05-22T17:12:02+00:00,Current Opinion in Pharmacology,0,25460227,2014-10-15T00:00:00+00:00,Test driving ToxCast: endocrine profiling for 1858 chemicals included in phase II.
202,,10.1039/c4gc00418c,2014-07-04T21:10:46+00:00,Green Chemistry,5,,,Bare magnetic nanoparticles: sustainable synthesis and applications in catalytic organic transformations
203,"The exposure and effects of perfluoroalkyl substances (PFASs) were studied at eight locations in Minnesota and Wisconsin between 2007 and 2011 using tree swallows (Tachycineta bicolor). Concentrations of PFASs were quantified as were reproductive success end points. The sample egg method was used wherein an egg sample is collected, and the hatching success of the remaining eggs in the nest is assessed. The association between PFAS exposure and reproductive success was assessed by site comparisons, logistic regression analysis, and multistate modeling, a technique not previously used in this context. There was a negative association between concentrations of perfluorooctane sulfonate (PFOS) in eggs and hatching success. The concentration at which effects became evident (150-200 ng/g wet weight) was far lower than effect levels found in laboratory feeding trials or egg-injection studies of other avian species. This discrepancy was likely because behavioral effects and other extrinsic factors are not accounted for in these laboratory studies and the possibility that tree swallows are unusually sensitive to PFASs. The results from multistate modeling and simple logistic regression analyses were nearly identical. Multistate modeling provides a better method to examine possible effects of additional covariates and assessment of models using Akaike information criteria analyses. There was a credible association between PFOS concentrations in plasma and eggs, so extrapolation between these two commonly sampled tissues can be performed.",10.1007/s00244-013-9934-0,2014-06-04T17:53:52+00:00,Archives of Environmental Contamination & Toxicology,1,23860575,2013-07-17T00:00:00+00:00,"Exposure and Effects of Perfluoroalkyl Substances in Tree Swallows Nesting in Minnesota and Wisconsin, USA"
